Table with row headers in column A and column headers in rows 5 through 6,,,,,,,,,,,,,,,,,,,
"Table 1.  Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race, and Hispanic Origin:  2014",,,,,,,,,,,,,,,,,,,
(Numbers in thousands.  Civilian noninstitutionalized population /1.),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
All Races,Educational Attainment,,,,,,,,,,,,,,,,,,
,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade /2,High school graduate,Some college no degree,"Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree,,,
..65 to 69 years,"7,065",13,54,86,172,90,150,184,"2,075","1,291",222,280,"1,342",621,176,308,,,
..70 to 74 years,"4,981",14,61,85,183,83,163,140,"1,579",747,115,171,877,465,110,188,,,
..75 years and over,"7,716",61,144,184,475,225,207,309,"2,399","1,024",208,204,"1,233",618,177,247,,,
Female,,,,,,,,,,,,,,,,,,,
.18 years and over,"123,461",480,902,"1,623","2,122","1,889","2,315","4,937","35,405","24,399","5,293","7,442","23,876","10,061","1,341","1,376",,,
..18 to 24 years,"14,766",24,17,40,79,117,265,"1,618","3,883","5,937",350,568,"1,719",135,14,2,,,
.25 years and over,"108,695",456,885,"1,583","2,043","1,772","2,051","3,319","31,522","18,462","4,943","6,875","22,157","9,926","1,327","1,374",,,
..25 to 29 years,"10,655",5,42,87,96,166,159,348,"2,404","2,143",512,730,"2,977",784,103,99,,,
..30 to 34 years,"10,594",46,41,122,131,224,169,342,"2,313","1,674",489,718,"2,677","1,307",192,148,,,
..35 to 39 years,"9,848",49,72,164,123,130,178,258,"2,173","1,601",498,744,"2,386","1,113",178,180,,,
..40 to 44 years,"10,348",29,53,173,103,183,137,287,"2,437","1,681",561,744,"2,527","1,138",133,160,,,
..45 to 49 years,"10,520",31,51,128,141,157,137,262,"2,997","1,819",510,714,"2,398",951,100,122,,,
..50 to 54 years,"11,446",23,77,159,161,175,179,356,"3,385","1,985",542,872,"2,287",912,171,161,,,
..55 to 59 years,"10,905",36,70,133,156,165,144,296,"3,457","1,860",502,783,"2,094",957,124,128,,,
..60 to 64 years,"9,635",52,86,121,233,87,170,216,"3,069","1,660",449,576,"1,639",993,163,119,,,
..65 to 69 years,"7,866",38,96,112,220,103,195,267,"2,578","1,438",341,393,"1,141",750,85,108,,,
..70 to 74 years,"5,830",33,68,103,125,100,153,191,"2,230","1,055",165,201,792,492,38,84,,,
..75 years and over,"11,049",114,228,282,554,282,429,497,"4,478","1,544",373,398,"1,238",528,41,63,,,
Footnotes:,,,,,,,,,,,,,,,,,,,
A dash (-) represents zero or rounds to zero.,,,,,,,,,,,,,,,,,,,
/1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,,,,
/2 12th grade no diploma are included in this category.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2014 Annual Social and Economic Supplement",,,,,,,,,,,,,,,,,,,
